Country,Year,C1,C2,C3,E1,E2,E3,P1,P2,P3,S1,S2,X1,GDP_per_Capita,Life_Expectancy,Internet_Access,Infant_Mortality,FSI_Category
Peru,2020,Medium,High,High,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,4_HighWarning
Mexico,2020,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Maldives,2020,Medium,High,Medium,Medium,Low,Medium,High,Medium,High,Medium,Medium,Medium,Medium,High,Medium,Low,4_HighWarning
Serbia,2020,Medium,High,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,High,High,Medium,Medium,Medium,Low,4_HighWarning
Moldova,2020,Medium,High,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Guyana,2020,High,Medium,Medium,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,High,Medium,Low,Medium,High,4_HighWarning
Belarus,2020,Medium,High,Medium,Medium,Medium,Medium,High,Low,High,Medium,Low,High,Medium,Medium,High,Low,4_HighWarning
Paraguay,2020,Medium,High,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Namibia,2020,Medium,Medium,Medium,High,High,Medium,Low,High,Low,High,Medium,Medium,Medium,Low,Medium,High,4_HighWarning
Cabo Verde,2020,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,4_HighWarning
Dominican Republic,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,4_HighWarning
Armenia,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Ghana,2020,Medium,Medium,Medium,Medium,Medium,High,Low,High,Medium,High,Medium,Medium,Low,Low,Medium,High,4_HighWarning
Bahrain,2020,Medium,High,High,Medium,Medium,Low,High,Low,High,Medium,Low,Medium,High,High,High,Low,4_HighWarning
Viet Nam,2020,Medium,High,Medium,Medium,Medium,Medium,High,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Samoa,2020,Medium,Medium,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,4_HighWarning
North Macedonia,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,High,Medium,Medium,Medium,High,Low,4_HighWarning
Belize,2020,High,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,4_HighWarning
Suriname,2020,Medium,Medium,Medium,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Jamaica,2020,High,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Medium,Medium,4_HighWarning
Kazakhstan,2020,Medium,High,High,Medium,Low,Medium,High,Low,Medium,Medium,Low,Low,Medium,Medium,High,Low,5_Warning
Cuba,2020,Medium,High,Low,Medium,Medium,Medium,High,Medium,Medium,Medium,Low,Medium,Medium,High,Medium,Low,5_Warning
Albania,2020,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,5_Warning
Malaysia,2020,Medium,High,Medium,Low,Medium,Medium,Medium,Low,High,Medium,Low,Low,Medium,High,High,Low,5_Warning
Botswana,2020,Medium,Low,Medium,Medium,High,Medium,Low,High,Medium,High,Medium,Low,Medium,Low,Low,High,5_Warning
Brunei Darussalam,2020,Medium,High,Medium,Medium,High,Medium,High,Low,High,Low,Low,Low,High,Medium,High,Medium,5_Warning
Cyprus,2020,Medium,High,Medium,Medium,Medium,Medium,Medium,Low,Low,Low,Medium,High,High,High,High,Low,5_Warning
Montenegro,2020,Medium,Medium,High,Medium,Low,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,High,Medium,Low,5_Warning
Grenada,2020,Medium,Medium,Medium,Medium,Medium,High,Medium,Low,Low,Medium,Low,High,Medium,Medium,Medium,Medium,5_Warning
Seychelles,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium,Low,High,High,High,High,Medium,5_Warning
Greece,2020,Medium,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,High,High,Medium,Low,5_Warning
Antigua and Barbuda,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Medium,High,High,Medium,Low,5_Warning
Trinidad and Tobago,2020,Medium,Medium,Low,Medium,Medium,High,Medium,Medium,Medium,Medium,Low,Medium,High,Medium,Medium,Medium,5_Warning
Mongolia,2020,Low,Medium,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,High,Medium,Medium,Medium,Medium,5_Warning
Kuwait,2020,Low,High,Medium,Low,Medium,Low,High,Low,High,Medium,Low,Medium,High,High,High,Low,5_Warning
"Bahamas, The",2020,Medium,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,High,Low,Medium,High,Medium,High,Medium,6_Stable
Bulgaria,2020,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium,Medium,High,Medium,Medium,Low,6_Stable
Oman,2020,Low,Medium,Low,Medium,Medium,Low,High,Low,High,Medium,Low,Low,High,High,High,Medium,6_Stable
Hungary,2020,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Medium,Medium,High,Medium,High,Low,6_Stable
Romania,2020,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Low,Low,Low,Medium,High,Medium,Medium,Low,6_Stable
Barbados,2020,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Medium,Medium,Low,Medium,High,High,Medium,Medium,6_Stable
Croatia,2020,Low,Medium,Medium,Medium,Low,Medium,Low,Low,Low,Low,Medium,Medium,High,High,Medium,Low,6_Stable
Argentina,2020,Medium,Low,Medium,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Medium,Medium,High,High,Medium,6_Stable
Panama,2020,Medium,Low,Medium,Low,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,High,High,Medium,Medium,6_Stable
Qatar,2020,Low,Medium,Medium,Low,Medium,Low,Medium,Low,Medium,Low,Low,High,High,High,High,Low,6_Stable
Chile,2020,Medium,Low,Low,Medium,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,High,High,High,Low,6_Stable
Italy,2020,Medium,Medium,Medium,Medium,Low,Low,Low,Low,Low,Low,Medium,Low,High,High,Medium,Low,6_Stable
Latvia,2020,Low,Medium,High,Low,Low,Medium,Low,Low,Low,Low,Low,Low,High,Medium,High,Low,6_Stable
Poland,2020,Low,Medium,Medium,Medium,Low,Medium,Medium,Low,Medium,Low,Low,Low,High,High,High,Low,6_Stable
Spain,2020,Medium,High,Medium,Medium,Low,Low,High,Low,Low,Low,Low,Low,High,High,High,Low,6_Stable
Costa Rica,2020,Medium,Medium,Low,Medium,Medium,Medium,Low,Low,Low,Low,Medium,Medium,High,High,High,Medium,6_Stable
Estonia,2020,Low,Medium,High,Low,Low,Medium,Low,Low,Low,Low,Low,Medium,High,High,High,Low,7_MoreStable
